dataset,margin_type,agegroup,region,estimate,std_error,variance,ci_lower,ci_upper,cv,n_unweighted,weighted_total
hnir52,direct_age_by_region,20-24,OLANCHO,0.44718351848853616,0.037259818352921956,0.0013882940636927399,0.37415561644630463,0.5202114205307677,0.08332109036321099,149,148.68670300000002
hnir52,direct_age_by_region,<19,OLANCHO,0.3599710524260731,0.06909034592579887,0.004773475900146552,0.2245564627320937,0.4953856421200524,0.1919330608951893,54,55.754586
hnir52,direct_age_by_region,35+,OLANCHO,0.36951096567505304,0.028272986081044067,7.993617419389115e-4,0.31409693122080445,0.4249250001293016,0.07651460635110693,222,219.04456299999995
hnir52,direct_age_by_region,25-34,SANTA BARBARA,0.2806237480931144,0.03126752948026431,9.776583997991976e-4,0.219340516426252,0.34190697975997686,0.11142153753106226,216,215.79230700000002
hnir52,direct_age_by_region,20-24,SANTA BARBARA,0.34469934127891516,0.044440993572132825,0.001975001909678351,0.2575965944403588,0.4318020881174715,0.12892683057428062,129,122.21576299999997
hnir52,direct_age_by_region,<19,SANTA BARBARA,0.524135050646316,0.06261766549742473,0.003920972032347376,0.4014066814753873,0.6468634198172448,0.1194685709727107,47,43.24608700000002
hnir52,direct_age_by_region,35+,SANTA BARBARA,0.3787028035945216,0.036500749901332084,0.0013323047433595942,0.3071626483792068,0.45024295880983634,0.09638362735865448,199,188.53268400000005
hnir52,direct_age_by_region,25-34,VALLE,0.35669449236081946,0.0377010073803415,0.0014213659574925646,0.28280187571447135,0.43058710900716757,0.10569551307286378,201,91.22084499999994
hnir52,direct_age_by_region,20-24,VALLE,0.3938360501333289,0.04108019787070479,0.0016875826570962585,0.3133203418289685,0.4743517584376893,0.10430786581573104,123,55.58322299999998
hnir52,direct_age_by_region,<19,VALLE,0.4081027986417094,0.1047885873275015,0.010980648034093408,0.2027209414889762,0.6134846557944426,0.25677007772617555,32,14.429607000000003
hnir52,direct_age_by_region,35+,VALLE,0.346220756754475,0.03652336436241126,0.001333956144349453,0.27463627800991525,0.41780523549903475,0.10549155026055262,176,79.22051600000003
hnir52,direct_age_by_region,25-34,YORO,0.31007043830468656,0.025743387261548675,6.627219876980666e-4,0.25961432643198395,0.36052655017738916,0.08302431990066812,273,343.5010270000002
hnir52,direct_age_by_region,20-24,YORO,0.39586735463360817,0.046419172138392965,0.002154739542013758,0.3048874490501929,0.48684726021702346,0.11725940923154893,145,183.57800699999987
hnir52,direct_age_by_region,<19,YORO,0.2555170192857625,0.06591495088975692,0.0043447807507990665,0.12632608949911256,0.3847079490724124,0.25796696859569906,38,45.79927800000001
hnir52,direct_age_by_region,35+,YORO,0.29594771679593257,0.026207994181453555,6.868589590151034e-4,0.24458099209324832,0.3473144414986168,0.08855616277494374,202,248.0225959999999
hnir62,direct_age_by_region,25-34,ATLANTIDA,0.16846892947503722,0.026357289534649643,6.947067116133516e-4,0.11680959125702946,0.220128267693045,0.1564519322155194,251,245.69816600000007
hnir62,direct_age_by_region,20-24,ATLANTIDA,0.22029594132282881,0.03351518620311175,0.0011232677062292524,0.15460738342957608,0.28598449921608154,0.15213710248977086,122,118.64757400000005
hnir62,direct_age_by_region,<19,ATLANTIDA,0.2635611768091236,0.06518149403969217,0.004248627165246426,0.1358077960328148,0.39131455758543243,0.2473106806883699,55,55.19970800000002
hnir62,direct_age_by_region,35+,ATLANTIDA,0.18934970091854927,0.032596231312952244,0.0010625142958074884,0.12546226151342615,0.2532371403236724,0.17214831158869298,208,212.22613400000023
hnir62,direct_age_by_region,25-34,CHOLUTECA,0.15551912651527,0.025495244215222538,6.500074775938383e-4,0.10554936607638069,0.20548888695415932,0.16393639024663137,249,231.1312300000003
hnir62,direct_age_by_region,20-24,CHOLUTECA,0.2282297630436635,0.03565888181753715,0.0012715558524770817,0.1583396389523205,0.2981198871350065,0.1562411551499316,145,132.16367400000004
hnir62,direct_age_by_region,<19,CHOLUTECA,0.18356166386333092,0.05181862289989033,0.0026851696792410387,0.08199902925108342,0.2851242984755784,0.28229545216190344,47,44.45894000000001
hnir62,direct_age_by_region,35+,CHOLUTECA,0.22286451228093757,0.03164841294739749,0.001001622042088997,0.16083476273618738,0.2848942618256878,0.1420074134885247,265,246.1343820000001
hnir62,direct_age_by_region,25-34,COLON,0.24029000055352148,0.028341762482216856,8.03255500598395e-4,0.18474116682998792,0.29583883427705504,0.11794815604864962,222,162.017208
hnir62,direct_age_by_region,20-24,COLON,0.25737441574958725,0.0332060769880365,0.0011026435489354073,0.19229170078517144,0.32245713071400306,0.12901856189289768,172,124.0985429999999
hnir62,direct_age_by_region,<19,COLON,0.25352444104277616,0.04751198922647984,0.002257389120257136,0.16040265332502063,0.3466462287605317,0.18740595199049598,69,52.09209000000004
hnir62,direct_age_by_region,35+,COLON,0.2550013288212117,0.035405683299919756,0.0012535624099342167,0.18560746470533773,0.32439519293708563,0.13884509333182196,213,150.47170999999997
hnir62,direct_age_by_region,25-34,COMAYAGUA,0.24942305430918552,0.026574415573386564,7.061995630670504e-4,0.19733815687514755,0.3015079517432235,0.10654354164248524,291,327.53862799999956
hnir62,direct_age_by_region,20-24,COMAYAGUA,0.21463231404123234,0.03668858212661554,0.0013460520584614134,0.14272401442922594,0.28654061365323874,0.17093689871678602,140,151.905556
hnir62,direct_age_by_region,<19,COMAYAGUA,0.2966869570777632,0.06675492193732599,0.004456219602858486,0.16584971428982154,0.4275241998657049,0.22500120192283737,52,53.81376099999998
