country,agegroup,region,estimate,std_error,variance,ci_lower,ci_upper,cv,n_unweighted,weighted_total
Honduras,Young Adult,GRACIAS A DIOS,0.33214799487749924,0.0351858886077039,0.0012380467571137472,0.2631849204423614,0.40111106931263707,0.10593437007103096,486,75.92297696628309
Honduras,Adolescent,INTIBUCA,0.3182952150496212,0.058906533734421895,0.003469979716604585,0.2028405304760606,0.43374989962318183,0.1850688635870274,126,36.922819694169945
Honduras,Young Adult,INTIBUCA,0.2488773330599047,0.03448330235028719,0.0011890981409813219,0.18129130238533642,0.316463363734473,0.13855541573963695,659,186.37853091701274
Honduras,Adolescent,ISLAS DE LA BAHIA,0.2915006859034674,0.06298163445276195,0.0039666862783413305,0.16805895068858698,0.4149424211183478,0.21605998715769328,69,12.061846378642535
Honduras,Young Adult,ISLAS DE LA BAHIA,0.16612377570644776,0.03252497207197765,0.0010578738082829262,0.10237600184720048,0.22987154956569505,0.1957875802765977,477,72.7042856075634
Honduras,Adolescent,LA PAZ,0.3328691749470631,0.051280589173961964,0.002629698826028665,0.23236106706010307,0.4333772828340231,0.154056287074696,129,40.34143776071468
Honduras,Young Adult,LA PAZ,0.2573056921637345,0.025231265068454436,6.36616736954609e-4,0.20785332134518028,0.3067580629822887,0.09805949046940911,704,187.3125655486011
Honduras,Adolescent,LEMPIRA,0.376824696239708,0.06264758944027764,0.003924720462677586,0.25403767721851206,0.4996117152609039,0.16625128359534555,146,63.194746537547694
Honduras,Young Adult,LEMPIRA,0.3344419034483095,0.034053394368534225,0.0011596336680189184,0.2676984769346433,0.40118532996197565,0.10182155410976314,709,239.2225625716107
Honduras,Adolescent,OCOTEPEQUE,0.27425650258553774,0.055202262903283575,0.003047289829643238,0.16606205542999047,0.382450949741085,0.2012796866541626,101,27.898339824775693
Honduras,Young Adult,OCOTEPEQUE,0.20368734837420166,0.024540187102180328,6.022207830100177e-4,0.15558946548005387,0.25178523126834945,0.12047968270025604,633,147.69147328899274
Honduras,Adolescent,OLANCHO,0.3047933960759055,0.04425308489603806,0.001958335522815952,0.21805894347487748,0.3915278486769335,0.14519043216086383,190,103.94448921129828
Honduras,Young Adult,OLANCHO,0.215416202727238,0.01988000043278731,3.9521441720762366e-4,0.1764521178663342,0.2543802875881418,0.09228646768952452,742,404.8370410984611
Honduras,Adolescent,SAN PEDRO SULA,0.3358184169534736,0.09186533114258771,0.008439239065937297,0.1557656764861559,0.5158711574207913,0.2735565606436508,28,4.191726656550519e-5
Honduras,Young Adult,SAN PEDRO SULA,0.20554946782604636,0.020315112477874438,4.127037949886897e-4,0.16573257902753222,0.2453663566245605,0.098833203961719,275,4.207193551207631e-4
Honduras,Adolescent,SANTA BARBARA,0.3623081661796456,0.06304525764966523,0.0039747045121126725,0.2387417317902535,0.48587460056903775,0.17401003768268666,115,83.97957943834054
Honduras,Young Adult,SANTA BARBARA,0.26281846977898854,0.021298853024055812,4.5364114014033143e-4,0.22107348493982715,0.30456345461814993,0.08104016830311286,712,417.0047422143544
Honduras,Adolescent,VALLE,0.23905327642855695,0.05785256437854872,0.0033469192051741245,0.12566433383331665,0.35244221902379724,0.2420069920934066,117,33.299616103594424
Honduras,Young Adult,VALLE,0.22851777102798784,0.022225333412879165,4.93965445313643e-4,0.18495691799435002,0.2720786240616257,0.09725866532348201,647,161.99331261550267
Honduras,Adolescent,YORO,0.25037564858767325,0.05548655081016871,0.0030787573208094342,0.14162400737339087,0.35912728980195563,0.22161320848556548,164,122.84538726621314
Honduras,Young Adult,YORO,0.2224983816085116,0.02550867934677721,6.506927220166982e-4,0.17250228879564758,0.27249447442137564,0.11464658377452838,725,524.931363012717
